"song_index","Title","release_date","text"
490,"Strangers When We Meet",1995-11-20,"All our friends Now seem so thin and frail Slinky secrets Hotter than the sun No peachy prayers No trendy réchauffé I'm with you So I can't go on CHORUS All my violence Raining tears upon the sheet I'm bewildered For we're strangers when we meet Blank screen TV Preening ourselves in the snow Forget my name But I'm over you Splendid sunrise And it's a dying world Humming Rheingold We scavenge up our clothes CHORUS All my violence Raging tears upon the sheets I'm resentful For we're strangers when we meet Cold tired fingers Tapping out your memories Halfway sadness Dazzled by the new Your embrace It was all that I feared That whirling room We trade by vendu Steely resolve Is falling from me My poor soul All bruised passivity All your regrets Ride rough-shod over me I'm so glad That we're strangers when we meet I'm so thankful That we're strangers when we meet I'm in clover For we're strangers when we meet Heel head over But we're strangers when we meet Strangers when we meet"
492,"Subterraneans",1977-10-14,"Share bright failing star Care-line, care-line, care-line, care-line Riding the shirley, shirley, shirley umm Share bright failing star"
494,"Suffragette City",1972-06-16,"Hey man, ah leave me alone you know Hey man, well Henry get off the phone, I gotta Hey man, I gotta straighten my face This mellow thighed chick just put my spine out of place Hey man, my school days insane Hey man, my work's down the drain Hey man, well she's a total blam blam She said she had to squeeze it but she... and then she... Oh don't lean on me man, 'cos you can't afford the ticket I'm back on Suffragette City Oh don't lean on me man 'Cos you ain't got time to check it You know my Suffragette City Is outta sight... she's all right Hey man, ah Henry, don't be unkind, go away Hey man, I can't take you this time, no way Hey man, hey Droogie don't crash here There's only room for one and here she comes, here she comes CHORUS Oh hit me! CHORUS A Suffragette City, a Suffragette City I'm back on Suffragette City, I'm back on Suffragette City Ooo, Suffragette City, ooo, Suffragette City Oooh-how, Suffragette City, oooh-how, Suffragette City, oooh-how Suffragette Ahhh, wham bam thank you Ma'am! A Suffragette City, a Suffragette City Quite all right A Suffragette City Ooh fine A Suffragette City, ooh, a Suffragette City Oh, my Suffragette City, oh my Suffragette City Oh, Suffragette Suffragette!"
498,"Sweet Head",1990-06-06,"I tried to break away from you From the Spics and Blacks and the gum you chew Where the posters are torn by the muggin' gangs And by the faggy park and the burnt out vans I've got ninety-nine years of laying in the dark and I'm far too young to lie I've got ninety-nine ways to play my guitar it's going to pay me before I die CHORUS So bob your sweet head Brother Ziggy gonna play I'm just about the best you can hear Gonna rock it in your head Shazam! and come ball With my guitar and me soprano We can give you sweet head I'm tough as glass and clean as night Well if looks can love we can love alright I'm your rubber peacock angelic whore I'm a rod iron face upon the wall I had ninety-nine tales of murder come life and I'm running away from it all I got a bedroom, every mirror in town they're gonna claim me if I fall CHORUS So bob your sweet head Brother Ziggy gonna play I'm just about the best you can hear Gonna rock deep in your head Shazam! and come ball With my guitar and me soprano We can give you sweet head Sweet head, gonna give you sweet head ""While ya down there"" See my eyes of blocked emotion, see my tremble, see my fall Traumatics thick and fast, your faith in me can last Besides I'm known to lay you, one and all Look south the way your Mother dwells If she knew what's going down, she'd give you hell I'm the kind of man she warned me of Till there was rock, you only had God You and I have a mutual vow We both like young, and we both like loud I got pretty shoes, and I'm kid and proud I'm street side out with my ear to the crowd CHORUS So bob your sweet head Brother Ziggy gonna play I'm just about the best you can hear It's gonna rock deep in your head Shazam! and come ball With my guitar and me soprano We can give you - sweet head Move along Sir! Choo Choo, Choo Choo Oo"
501,"Sweet Thing",1974-04-24,"It's safe in a city To love in a doorway To wrangle some screams from the dawn And isn't it me Putting pain in a stranger Like a portrait in flesh that trails on a leash Will you see that I'm scared and I'm lonely So I'll break up my room, and yawn and I run to the centre of things Where the knowing one says CHORUS Boys, boys, boys, boys, it's a sweet thing Boys, boys, it's a sweet thing, sweet thing If you want it, boys, get it here, thing 'Cos hope, boys, is a cheap thing, cheap thing I'm glad that you're older than me Makes me feel important and free Does that make you smile, isn't that me? I'm in your way, and I'll steal every moment If this trade is a curse, then I'll bless you and turn to the crossroads and hamburgers CHORUS"
502,"Sweet Thing (Reprise)",1974-05-24,"If you want it, boys, get it here thing 'Cos hope, boys, is a cheap thing, cheap thing Is it nice in your snowstorm Freezing your brain? Do you think that your face looks the same? Then let it be, it's all I ever wanted It's a street with a deal, and a taste It's got claws - it's got me - it's got you"
506,"Teenage Wildlife",1980-09-12,"Well, how come you only want tomorrow With its promise of something hard to do A real life adventure worth more than pieces of gold Blue skies above, sun on your arms, strength in your stride And hope in those squeaky clean eyes You'll get chilly receptions everywhere you go Blinded with desire - I guess the season is on So you train by shadow boxing, search for the truth But it's all, but it's all used up Break open your million dollar weapon And push your luck, still you push, still you push your luck A broken nosed mogul are you One of the new wave boys Same old thing in brand new drag Comes sweeping into view, oh-ooh As ugly as a teenage millionaire Pretending it's a whiz kid world You'll take me aside, and say ""Well, David, what shall, shall I do? They wait for me in the hallway"" I'll say ""Don't ask me, I don't know any hallways"" But they move in numbers and they've got me in a corner And I feel like a group of one, no-no They can't do this to me I'm not some piece of teenage wildlife Those midwives to history put on their bloody robes And the word is that the hunted one is out there on his own And you're alone for maybe the last time And you breathe for a long time Then you howl like a wolf in a trap And you daren't look behind You fall to the ground like a leaf from the tree And look up one time at that vast blue sky Scream out aloud as they shoot you down No no, I'm not a piece of teenage wildlife I'm not a piece of teenage wildlife And no one will have seen and no one will confess The fingerprints will prove that you couldn't pass the test There'll be others on the line filing past, who'll whisper low I miss you he had to go Well each to his own, he was Another piece of teenage wildlife, oh-oh-oh-ohh Another piece of teenage wildlife, oh-oh-oh-ohh Another piece of teenage wild... Life Wild - Life Wild - Life Wild - Life"
507,"Telling Lies",1996-11-04,"Telling Lies Gorgeous girls are bound to meet To talk of stars and kings and feet Through the chromosomes of space and time Me I'm fast like bad infection Gasping for my resurrection Swear to me in times of war and stress Telling lies, telling lies Telling lies, telling lies CHORUS Telling lies Starting fires Telling lies Telling lies Shadow falls on shrinking smile See me poised at the happy games Standing in the mouth of all that's pure Come straggling in your tattered rainments You'll come to me in tears and blame I'm your future, I'm tomorrow, I'm the end Telling lies Telling lies Telling lies CHORUS"
511,"The Bewlay Brothers",1971-12-17,"And so the story goes they wore the clothes They said the things to make it seem improbable The whale of a lie like the hope it was And the good men tomorrow Had their feet in the wallow And their heads of brawn were nicer shorn And how they bought their positions with saccharin and trust And the world was asleep to our latent fuss Sighing, the swirl through the streets Like the crust of the Sun The Bewlay Brothers In our wings that bark Flashing teeth of brass Standing tall in the dark Oh, and we were gone Hanging out with your dwarf men We were so turned on By your lack of conclusions Well, I was stone and he was wax So he could scream and still relax, unbelievable And we'd frightened the small children away And our talk was old and dust would flow Thru' our veins and lo' it was midnight Back o' the kitchen door Like the grim face on the Cathedral floor And the solid book we wrote Cannot be found today And it was stalking time for the Moonboys The Bewlay Brothers With our backs on the arch In the Devil-may-be-here But he can't sing about that Oh, and we were gone Real cool traders We were so turned on You thought we were fakers And now the dress is hung, the ticket pawned The Factor Max that proved the fact Is melted down Woven on the edging of my pillow And my Brother lays upon the Rocks He could be dead, he could be not He could be you He's Camelian, comedian, Corinthian and caricature ""Shooting-up pie-in-the-sky"" The Bewlay Brothers In the feeble and the bad The Bewlay Brothers In the blessed and cold In the crutch-hungry dark Was where we flayed our mark Oh, and we were gone Kings of Oblivion We were so turned on In the mind-warp pavilion Lay me place and bake me pie I'm starving for me gravy Leave my shoes and door unlocked I might just slip away, hey! Just for the day, hey! Please come away, hey!"
512,"The Dreamers",1999-10-04,"Black eyed Ravens They spiral down They tilt his head back To the flame filled sunset Raise their guns high As the darken falls These are the days boys Shallow man Shallow man... and they Eats in the doorway With his head inclined And he's always in decline No-one heals anymore So he shrinks as they ride Under vermilion sky So it goes Just a searcher A lonely soul The last of the dreamers Shallow man Shallow man Speaks to the shadows Moves his trembling hands And he's always a little late For the dawning of the day So it goes Just a searcher Lonely soul The last of the dreamers"
513,"The Drowned Girl",1982-02-13,"Once she had drowned and started her slow descent Down the streams to where the great rivers broaden Oh, the open sky chant most magnificent As if it was acting as her body's guardian Wreck and duck weed slowly increased her weight By clasping her in their slimy grip Through her limbs, the cold blooded fishes played Creatures and plant life kept on, thus obstructing her last trip And the sky that same evening grew dark as smoke And its stars through the night kept the brightness still soaring But it quickly grew clear when dawn now broke To see that she got one further morning Once her pallid trunk had rotted beyond repair It happened quite slowly that she gently slipped from God's thoughts First with her face, then her hands, right at the last with her hair Leaving those corpse-choked rivers just one more corpse"
515,"The Gospel According To Tony Day",1967-04-14,"The Gospel according to Tony Day If I find a girl he'll take her away Rotten Tony! The Gospel according to Brendan O'Lear If I buy him a Scotch, he'll buy me a beer Tight fist, friends The Gospel according to Pat Hewitt If it's written on a sweater then I'd better not do it Ah Got to, got to Your mind, blow it Blow it The Gospel according to Marianne Brent She'll be mine if I pay the rent Good old Marianne, who needs friends, oh Waste of flipping time, take a look at my life and you'll see Take a quick butchers, rotten Harry down The Oak Wouldn't give you tuppence for him"
516,"The Hearts Filthy Lesson",1995-09-11,"There's always the Diamond friendly Sitting in the Laugh Hotel The hearts filthy lesson With her hundred miles to hell Oh, Ramona - if there was only something between us If there was only something between us Other than our clothes Something in our sky Something in our sky Something in our blood Something in our sky Paddy Paddy Who's been wearing Miranda's clothes? It's the hearts filthy lesson Hearts filthy lesson Hearts filthy lesson Falls upon deaf ears It's the hearts filthy lesson Hearts filthy lesson Hearts filthy lesson Falls upon deaf ears Falls upon dead ears Oh Ramona, if there was only some kind of future Oh Ramona, if there was only some kind of future And these cerulean skies Something in our skies Something in our skies Something in our blood Something in our skies Paddy, Paddy? Paddy will you carry me, I think I've lost my way I'm already five years older I'm already in my grave I'm already I'm already I'm already Will you carry me? Oh Paddy, I think I've lost my way Paddy, what a fantastic death abyss Paddy, what a fantastic death abyss It's the hearts filthy lesson Tell the others It's the hearts filthy lesson What a fantastic death abyss Tell the others It's the hearts filthy lesson Paddy, what a fantastic death abyss It's the hearts filthy lesson Tell the others"
518,"The Jean Genie",1972-11-24,"Small Jean Genie snuck off to the city Strung out on lasers an' slash back blazers An' ate all your razors while pulling the waiter Talking 'bout Monroe an' walking on Snow White New York's a go-go an' everything tastes nice Poor little Greenie Ooo-oo Jean Genie lives on his back The Jean Genie loves chimney stacks He's outrageous, he screams and he bawls The Jean Genie let yourself go! oh He sits like a man but he smiles like a reptile She'll love him, she'll love him but just for a short while She'll scratch in the sand, won't let go his hand He says he's a beautician and sells you nutrition An' keeps all your dead hair for making up underwear Poor little Greenie Ooo-oo CHORUS He's so simple-minded he can't drive his module Bites on the neon and sleeps in a capsule Loves to be loved, loves to be loved Ooo-oo Oh the Jean Genie lives on his back The Jean Genie loves chimney stacks An' he's outrageous, he screams and he bawls The Jean Genie let yourself go! oh Go! Go! The Jean Genie lives on his back The Jean Genie loves chimney stacks He's outrageous, he screams and he bawls Jean Genie let yourself go! oh! Go! Oh go!"
520,"The Last Thing You Should Do",1997-01-29,"What are you doing to yourself? What are you doing to yourself? What are you doing to yourself? It's the last thing you should do Nobody laughs anymore Nobody laughs anymore Nobody laughs anymore It's the worst thing you can do Save the last dance for me Catch the last bus with me Give the last kiss to me It's the safest thing to do Yeah What are you doing to yourself? What are you doing to yourself? What are you doing to yourself? It's the last thing you should do Nobody laughs anymore Nobody laughs anymore Nobody laughs anymore It's the worst thing you can do Save the last dance for me Catch the last bus with me Give the last kiss to me It's the safest thing to do Yeah"
524,"The Man Who Sold The World",1970-11-04,"We passed upon the stair, we spoke of was and when Although I wasn't there, he said I was his friend Which came as some surprise I spoke into his eyes I thought you died alone, a long long time ago Oh no, not me I never lost control You're face to face With the man who sold the world I laughed and shook his hand, and made my way back home I searched for form and land, for years and years I roamed I gazed a gazely stare at all the millions here We must have died alone, a long long time ago Who knows? Not me We never lost control You're face to face With the man who sold the world"
526,"The Motel",1995-09-25,"Well we're living, in a safety zone Don't be holding back from me We're living from hour to hour down here And we'll take it when we can It's a kind of living which recognises The death of the odourless man When nothing is vanity nothing's too slow It's not Eden but it's no sham There is no hell There is no shame There is no hell Like an old hell There is no hell And it's lights up boys Lights up boys Explosion falls upon deaf ears While we're swimming in a sea of sham Living in the shadow of vanity A complex fashion for a simple man And there is no hell And there is no shame And there is no hell Like an old hell There is no hell And silence flies on its brief flight A razor sharp crap shoot affair And we light up our lives And there's no more of me exploding you Re-exposing you Like everybody do Re-exploding you I don't know what to use Make somebody move Me exploding Me exploding you"
530,"The Prettiest Star",1973-04-13,"Cold fire, you've got everything but cold fire You will be my rest and peace child I moved up to take a place, near you So tired, it's the sky that makes you feel tried It's a trick to make you see wide It can all but break your heart, in pieces Staying back in your memory Are the movies in the past How you move is all it takes To sing a song of when I loved The Prettiest Star One day though it might as well be someday You and I will rise up all the way All because of what you are The Prettiest Star Staying back in your memory Are the movies in the past How you move is all it takes To sing a song of when I loved The Prettiest Star One day though it might as well be someday You and I will rise up all the way All because of what you are The Prettiest Star"
531,"The Pretty Things Are Going To Hell",1999-09-20,"What to wear What to say What to do on a sunny day Who to phone Who to fight Who to dance with on a Sunday night I'm reaching the very edge, you know I'm reaching the very edge I'm going to the other side this time Reaching the very edge CHORUS You're still breathing but you don't know why Life's a bit and sometimes you die You're still breathing but you just can't tell Don't hold your breath but the pretty things are going to hell I am a drug I am a dragon I am the best jazz you've ever seen I am a dragon I am the sky I am the blood at the corner of your eye I found the secrets, I found the gold I find you out before you grow old I find you out before you grow old What is eternal? What is damned? What is clay and what is sand? Who to dis? Who to truss? Who to listen to? Who to suss? I'm reaching the very edge, you know I'm reaching the very edge I'm going to the other side this time I'm reaching the very edge CHORUS I am a dragon I am a drug I am the best jazz you've ever heard I am a dragon I am the sky I am the blood at the corner of your eye I found the secrets, I found the gold I find you out before you grow old I find you out before you grow old REPEAT The pretty things are going to hell They wore it out but they wore it well You're still breathing but you don't know why You're still breathing but you just can't tell Don't hold your breath but the pretty things are going to hell"
533,"The Secret Life Of Arabia",1977-10-14,"The secret life of Arabia Secret secrets never seen Secret secrets ever green I was running at the speed of life Through morning's thoughts and fantasies Then I saw your eyes at the cross fades Secret secrets never seen Secret secrets ever green The secret life of Arabia Never here, never seen Secret life ever green The secret life of Arabia You must see the movie the sand in my eyes I walk through a desert song when the heroine dies Arabia Arabia Arabia THREE TIMES: Arabia Arabia The secret life of Arabia Never here never seen Secret life ever green"
534,"The Supermen",1970-11-04,"When all the world was very young And mountain magic heavy hung The supermen would walk in file Guardians of a loveless isle And gloomy browed with super fear their tragic endless lives Could heave nor sigh In solemn, perverse serenity, wondrous beings chained to life Strange games they would play then No death for the perfect men Life rolls into one for them So softly a supergod cries Where all were minds in uni-thought Power weird by mystics taught No pain, no joy, no power too great Colossal strength to grasp a fate Where sad-eyed mermen tossed in slumbers Nightmare dreams no mortal mind could hold A man would tear his brother's flesh, a chance to die To turn to mold Far out in the red sky Far out from the sad eyes Strange, mad celebration So softly a supergod cries Far out in the red sky Far out from the sad eyes Strange, mad celebration So softly a supergod dies"
535,"The Voyeur Of Utter Destruction (As Beauty)",1995-09-25,"Turn, and turn again Turn, and turn again I shake And stare at the sun Till my eyes burn I shake At the mothers brutal vermin I shake And stare at the watery moon With the same desire As the sober Philistine An' I shake Turn and turn again Blood, the pain and blade Turn and turn again The screw Is a tightening atrocity I shake For the reeking flesh Is as romantic as hell The need To have seen it all The voyeur of utter destruction As beauty An' I shake Turn and turn again I shake Turn and turn again I shake I shake I shake VERSE Research has pierced all extremes of my sex Call it a day, call it a day Needle point life, blind the will to be next Call it a day, call it a day Call it a day Today"
537,"The Wedding Song",1993-04-05,"These are silver wings These are golden eyes These are floating clouds Angel for life Dreaming alone and I feel that someone Listens to me Angel for life These are silver wings These are golden eyes These are floating clouds Angel for life Heaven is smiling down, heaven's girl in a wedding gown I'm gonna be so good, just like a good boy should I'm gonna change my ways Angel for life Of all the Saints alive Don't I feel like a Saint alive She's not mine for eternity Though I'll never fly so high I'm smiling I believe in magic Angel for life In magic Angel for life I believe in magic Angel for life In magic Angel for life I believe in magic"
538,"The Width Of A Circle",1970-11-04,"In a corner of the morning in the past I would sit and blame the master first and last All the roads were straight and narrow And the prayers were small and yellow And the rumour spread that I was aging fast Then I ran across a monster who was sleeping by a tree And I looked and frowned and the monster was me Well, I said ""Hello"" and I said ""Hello"" And I asked ""Why not?"" and I replied ""I don't know"" So we asked a simple blackbird, who was happy as can be Well he laughed insane and quipped ""Kahlil Gibran"" And I cried for all the others till the day was nearly through For I realised that God's a young man too So I said ""So long"" and I waved bye-bye And I smashed my soul and traded my mind Got laid by a young bordello Who was vaguely half asleep For which my reputation swept back home in drag And the morals of this magic spell Negotiate my hide When God did take my logic for a ride Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh He swallowed his pride and puckered his lips And showed me the leather belt round his hips My knees were shaking my cheeks aflame He said ""You'll never go down to the Gods again"" He struck the ground a cavern appeared And I smelt the burning pit of fear We crashed a thousand yards below I said ""Do it again, do it again"" His nebulous body swayed above His tongue was swollen with Devil's love The snake and I, a venom high I said ""Do it again, do it again"" Breathe, breathe, breathe deeply And I was seething, breathing deeply Spitting sentry, horned and tailed Waiting for you Oh, oh, oh, oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh"
539,"There Is A Happy Land",1967-06-01,"There is a happy land where only children live They don't have the time to learn the ways Of you Sir, Mr. Grown-Up There's a special place in the rhubarb fields underneath the leaves It's a secret place and adults aren't allowed there, Mr. Grown-Up Go away, Sir Charlie Brown's got half a crown, he's gonna buy a kite Jimmy's ill with chicken pox, and Tommy's learned to ride his bike Tiny Tim sings prayers and hymns, he's so small we don't notice him He gets in the way, but we always let him play with us Mother calls, but we don't hear There's lots more things to do It's only five o'clock, and we're not tired yet But we will be, very shortly Sissy Steven plays with girls, someone made him cry Tony climbed a tree and fell, trying hard to touch the sky Tommy lit a fire one day, nearly burnt the field away Tommy's mum found out, but he put the blame on me and Ray There is a happy land where only children live You've had your chance and now the doors are closed Sir, Mr. Grown-Up Go away, Sir Boo, de boo, de boo, de boo dup"
545,"Thru' These Architect's Eyes",1995-09-25,"An' stomping along on this big Philip Johnson Is delay just wasting my time? Looking across at Richard Rogers Scheming dreams to blow both their minds It's difficult you see To give up baby To leave a job When you know You know the money's from day to day CHORUS All the majesty of a city landscape All the soaring days in our lives All the concrete dreams in my mind's eye All the joy I see Thru' these architect's eyes Cold winter bleeds on the girders of Babel This stone boy watching the crawling land Rings of flesh and the towers of iron The steaming caves and the rocks and the sand Stomping along on this big Phillip Johnson Is delay just wasting my time? It's difficult you see To give up baby These summer scumholes This god damned starving life CHORUS It's difficult you see It's difficult you see CHORUS"
546,"Thursday's Child",1999-09-20,"All of my life I've tried so hard Doing my best with what I had Nothing much happened all the same Something about me stood apart A whisper of hope that seemed to fail Maybe I'm born right out of my time? Breaking my life in two Now that I've really got a chance Everything's falling into place Seeing my past to let it go Only for you I don't regret That I was Thursday's Child Monday, Tuesday, Wednesday born I was Sometimes I cried my heart to sleep Shuffling days and lonesome nights Sometimes my courage fell to my feet Lucky old sun is in my sky Nothing prepared me for your smile Lighting the darkness of my soul Innocence in your arms Now that I've really got a chance Everything's falling into place Seeing my past to let it go Only for you I don't regret That I was Thursday's Child Monday, Tuesday, Wednesday born I was Thursday's Child Monday, Tuesday, Wednesday born I was Thursday's Child Monday, Tuesday, Wednesday born I was Monday, Tuesday, Wednesday born I was"
554,"Too Dizzy",1987-04-20,"There's too much talking for a night drive Too much mist in front of my eyes I'm trying not to lose control But you're just pushin' for a fight You look trapped, turn the radio on Too much smoke, air conditioning gone But I'm helpless in love with you But you're just looking for a break Is it love or is it what? Who's this guy I'm gonna blow away? What kind of love is he giving you? I'm-a-dizzy's what I'm trying to say Too Dizzy - You can't have a lover Too Dizzy - It's me and no other I'm a bad loser - I'm-a-shakin' in anger Too Dizzy - you can't have no lover 2nd time: Don't come any harder Don't come any closer You can go on dreaming every night But I'm not letting you out of my sight I'm-a-ten times the man than any guy around But you're just itchin'-twitchin'-itchin' for a break There's too much talking for a night drive Too much mist in front of my eyes But I'm helpless in love with you But you're just looking for a break Is it love or is it what?..."
557,"Tryin' To Get To Heaven",2021-01-08,"The air is getting hotter There's a rumbling in the sky I've been wading through the high muddy water With the heat rising through my eye Every day your memory grows dimmer It doesn't hurt me like it did before I've been walking through the middle of nowhere Tryin' to get to heaven before they close the door Oh yeah And when I was in Missouri They would not let me be I had to leave there in a hurry I only saw what they let me see They broke a heart that loved you Now you can seal up the book, not write anymore I've been walking that lonesome valley Tryin' to get to heaven before they close the door Ah alright CHORUS Oooh, tryin' to get to heaven Before they close the door Oh, people on the platforms Waiting for the trains I can hear their hearts a-beatin' Like pendulums swinging on a chain When you think you've lost everything You find out you can lose? a little more Ah I'm just going down that, that road feeling bad Tryin' hard to get to heaven Before they close the door CHORUS Oooh, tryin' to get to heaven Before they close the door I'm going down the river Going down to New Orleans They tell me everything's gonna be all right But they don't know what ""all right"" even means I close my eyes and I wonder boys If everything is as hollow as it seems I been to Sugar Town and shook the sugar down Tryin' to get to heaven before they close the door Hey-hey! CHORUS Oooh, tryin' to get to heaven Before they close the door"
558,"Tumble And Twirl",1984-09-24,"I've seen the city I took the next flight for Borneo They say it's pretty I like the tee shirts in Borneo Some wear Bob Marley Others in Playboy or Duvalier Make the last plane come Let me rise through the cloudy above With a book on Borneo Strangers come and go It's such a waste of time Problems far behind Another day But even in spring-time It's a rich slice of life So send me a letter I'll reply with a broken spear That dusky Mulatto In nylons and tattoos Hot juice in Coke bottles We dance in the sand Well, they twirl and they tumble Yes, they twirl and they tumble Well, I'll twirl and I'll tumble I've been to Leon's He's got nine daughters And a stereo They say that Leon Watches from the tree tops In Borneo When the road is mud Everything stops with a thud That's the way it goes down yonder in Borneo Far beneath his mansion There's an open drain Sending all the sewage down the hill But when the General shows movies No one hesitates To sneak from the jungle They laugh and they mumble Enjoying the show And that dusky Mulatto Hot juice in Coke bottles In blue jeans and tattoos Well, they twirl and they tumble Yes, they twirl and they tumble Well, I'll twirl and I'll tumble I like the free world They say it's pretty This time of year They tumble and twirl They tumble and twirl I'll tumble and twirl They twirl and they tumble They twirl and they tumble I like the free world I like the free world They say it's pretty This time of year This time of year"
560,"TVC 15",1976-01-23,"TVC 15 Oh oh oh oh oh    oh oh oh oh oh TVC 15 Oh oh oh oh oh    oh oh oh oh oh Oh oh oh oh oh    oh oh oh oh oh Oooooo-oo Up every evening 'bout half eight or nine I'll give my, complete attention to a very good friend of mine He's quadrophonic, he's a, he's got more channels So hologramic, oh my TVC one five I brought my baby home, she, she sat around forlorn She saw my TVC one five, baby's gone, she She crawled right in, oh my my She crawled right in my So hologramic, oh my TVC one five Oh so demonic, oh my TVC one five VERSE Maybe if I pray every, each night I sit there pleading ""Send back my dream test baby, she's my main feature, ah"" My TVC one five, he, he just stares back unblinking So hologramic, oh my TVC one five One of these nights I may just Jump down that rainbow way, be with my baby then We'll spend some time together So hologramic, oh my TVC one five My baby's in there some place, love's rating in the sky So hologramic, oh my TVC one five CHORUS Transition Transmission Transition Transmission Oh my TVC one five, oh oh, TVC one five Oh my TVC one five, oh oh, TVC one five Oh my TVC one five, oh oh, TVC one five Oh my TVC one five, oh oh, TVC one five VERSE Oh oh oh oh oh, oh oh oh oh oh CHORUS Oh my TVC one five, oh oh, TVC one five"
562,"Uncle Arthur",1967-06-01,"Strikes the bell for 5 o'clock, Uncle Arthur closes shop Screws the tops on all the bottles, turns the lights out, locks it up Climbs across his bike and he's away Cycles past the gas works, past the river, down the high street Back to mother, it's another empty day Uncle Arthur likes his mummy Uncle Arthur still reads comics Uncle Arthur follows Batman Round and round the rumours fly, how he ran away from mum On his 32nd birthday, told her that he'd found a chum Mother cried and raved and yelled and fussed Arthur left her no illusion, brought the girl round, save confusion Sally was the real thing, not just lust Uncle Arthur vanished quickly Uncle Arthur and his new bride Uncle Arthur follows Sally Round and round goes Arthur's head, hasn't eaten well for days Little Sally may be lovely, but cooking leaves her in a maze Uncle Arthur packed his bags and fled Back to mother, all's forgiven, serving in the family shop He gets his pocket money, he's well fed Uncle Arthur past the gas works Uncle Arthur past the river Uncle Arthur down the high street Uncle Arthur follows mother"
564,"Under Pressure",1981-10-26,"Bah, bah, bah, bah, bah, bah, bah, bah Bah, bah, bah, bah, bah, bah Pressure, pushing down on me Pressing down on you, no man ask for Under pressure, that burns a building down Splits a family in two Puts people on streets Bah, bah, bah, bah, bah, bah Bah, bah, bah, bah, bah, bah That's okay It's the terror of knowing What this world is about Watching some good friends Screaming ""Let me out"" Pray tomorrow takes me higher Pressure on people, people on streets Doh doh doh bah bah bah bah Okay Chipping around, kick my brains around the floor These are the days it never rains but it pours People on streets, people on streets It's the terror of knowing What this world is about Watching some good friends Screaming ""Let me out"" Pray tomorrow take me higher Pressure on people, people on streets Turned away from it all, like a blind man Sat on a fence but it don't work Keep coming up with love But it's so slashed and torn Why why why? Love love love love Insanity laughs, under pressure we're cracking Can't we give ourselves one more chance Why can't we give love one more chance Why can't we give love, give love, give love, give love, give love 'Cos love's such an old fashioned word And love dares you to care For the people on the edge of the night And love dares you to change our way of Caring about ourselves This is our last dance This is ourselves Under pressure Under pressure Pressure"
567,"Untitled No. 1",1993-11-08,"In mornings she's so regal that the valley sighs In the chilly sea that killed her real slow Now we're swimming up farther with the doll by our sides Fill the cup with these sleepy souls CHORUS Sleepy Kapoor It's clear that some things never take Sleepy Kapoor Please, heal these tears Sleepy Kapoor She will feel like at tea, make me laugh all along With such feats like sex only brought upon Oh lady, oh baby, maybe I'll live my lies alone Jesus, up here, hear me, I, up-up-up above CHORUS Please heal these tears CHORUS repeat Some things never Never never"
568,"Unwashed and Somewhat Slightly Dazed",1969-11-14,"Spy, spy, pretty girl I see you see me through your window Don't turn your nose up Well, you can if you need to, you won't be the first or last It must strain you to look down so far from your father's house And I know what a louse like me in his house could do for you I'm the cream Of the Great Utopia dream And you're the gleam In the depths of your banker's spleen I'm a phallus in pigtails And there's blood on my nose And my tissue is rotting Where the rats chew my bones And my eye sockets empty See nothing but pain I keep having this brainstorm About twelve times a day So now, you could spend the morning walking with me, quite amazed As I'm unwashed and somewhat slightly dazed I got eyes in my backside That see electric tomatoes On credit card rye bread There are children in washrooms Holding hands with a Queen And my heads full of murders Where only killers scream So now you could spend the morning talking with me quite amazed As I'm raving mad and somewhat slightly dazed Now you run from your window To the porcelain bowl And you're sick from your ears To the red parquet floor And the Braque on the wall Slides down your front And eats through your belly It's very catching So now, you should spend the morning lying to your father quite amazed About the strange unwashed and happily slightly dazed Oh - o - yea' - oh - - oooh! - dar-nah-nah-naru - na"
569,"Up The Hill Backwards",1980-09-12,"Vacuum created by the arrival of freedom And the possibilities it seems to offer It's got nothing to do with you, if one can grasp it It's got nothing to do with you, if one can grasp it A series of shocks - sneakers fall apart Earth keeps on rolling - witnesses falling It's got nothing to do with you, if one can grasp it It's got nothing to do with you, if one can grasp it Yeah, yeah, yeah - up the hill backwards It'll be alright ooo-ooo While we sleep they go to work We're legally crippled it's the death of love It's got nothing to do with you, if one can grasp it It's got nothing to do with you, if one can grasp it More idols than realities, ooo-ooo I'm OK, you're so-so, ooo-ooo Yeah, yeah, yeah - up the hill backwards It'll be alright ooo-ooo"
